Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Salvador,-12.90,-38.33,-3,13,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,1,1,25.4,23.0,21.7,101.2,0.016737581,82,1.15013513,68.0,4,90,0,0,0,0,0,0
1,1,2,25.0,23.1,22.0,101.2,0.017058413,85,1.151099943,68.4,4,90,3,0,0,0,0,0
1,1,3,25.0,23.5,22.6,101.2,0.017675494,88,1.149989445,70.0,3,100,1,0,0,0,0,0
1,1,4,24.8,23.4,22.5,101.2,0.017604518,89,1.150889084,69.6,3,90,3,0,0,0,0,0
1,1,5,24.5,23.1,22.2,101.2,0.017268905,89,1.152653911,68.5,4,110,4,0,0,0,0,0
1,1,6,25.5,23.5,22.4,101.2,0.017464786,85,1.148442447,70.0,4,100,5,2,1,0,1,0
1,1,7,25.6,24.0,23.1,101.3,0.018189343,88,1.14789177,71.9,2,90,8,197,95,29,68,66
1,1,8,26.1,24.0,22.9,101.4,0.01795922,84,1.147517599,71.9,3,50,9,517,364,278,495,86
1,1,9,28.9,24.0,21.8,101.4,0.016780614,67,1.138977872,71.7,7,90,6,811,468,239,333,229
1,1,10,29.5,24.4,22.2,101.4,0.017165753,66,1.136034881,73.3,6,120,8,1057,780,628,732,152
1,1,11,29.4,24.3,22.1,101.4,0.017047479,66,1.136620702,72.9,8,90,5,1240,915,737,772,178
1,1,12,29.3,24.3,22.1,101.4,0.017089514,67,1.136921719,72.9,8,100,5,1347,1001,811,813,189
1,1,13,30.1,24.4,21.9,101.3,0.016933176,63,1.133081349,73.4,9,120,3,1370,1028,840,854,188
1,1,14,29.9,24.3,21.9,101.3,0.016856854,63,1.133964595,73.0,9,100,4,1308,874,612,669,261
1,1,15,29.5,24.1,21.7,101.2,0.01672539,64,1.134575903,72.2,8,70,1,1165,699,392,492,307
1,1,16,29.4,24.5,22.4,101.2,0.017408293,67,1.133738692,73.9,9,80,0,952,571,320,495,251
1,1,17,28.8,24.4,22.4,101.1,0.017519136,70,1.134672297,73.5,8,90,0,681,409,229,465,180
1,1,18,28.5,24.4,22.6,101.2,0.017625758,72,1.136734678,73.5,10,90,0,373,280,229,465,51
1,1,19,26.7,23.0,21.2,101.2,0.016191588,73,1.146128478,68.0,7,90,4,68,51,42,97,9
1,1,20,25.8,22.6,21.0,101.2,0.015966047,76,1.149985371,66.5,6,110,4,0,0,0,0,0
1,1,21,25.6,22.5,20.9,101.2,0.015900655,77,1.150873209,66.1,5,130,5,0,0,0,0,0
1,1,22,25.5,22.4,20.8,101.3,0.015776621,77,1.152620302,65.7,5,120,6,0,0,0,0,0
1,1,23,25.5,22.4,20.8,101.3,0.015776621,77,1.152620302,65.7,5,110,6,0,0,0,0,0
1,1,24,25.4,22.4,20.9,101.4,0.015801279,77,1.154099961,65.6,5,110,6,0,0,0,0,0
1,2,1,25.2,22.2,20.6,101.4,0.015590033,77,1.155256268,64.9,4,110,0,0,0,0,0,0
